id,Time,acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,exercise
0,2021-06-21 16:49:00:79942,0.8321162244897958,-0.4072681938775509,-0.4177672959183673,-5.46,45.43,-26.95,두손
0,2021-06-21 16:49:00:8194,0.8467661224489795,-0.3923740714285714,-0.4053148469387755,-3.43,5.7400002,1.05,두손
0,2021-06-21 16:49:00:83957,0.8460336734693877,-0.4270456122448979,-0.4050706836734694,-2.24,4.27,0.49,두손
0,2021-06-21 16:49:00:86032,0.8482312244897958,-0.4177672959183673,-0.4158139795918367,-0.49,3.99,1.05,두손
0,2021-06-21 16:49:00:87975,0.8533586734693877,-0.4387655510204082,-0.4050706836734694,4.9,4.13,1.54,두손
0,2021-06-21 16:49:00:89876,0.8523820408163264,-0.431684693877551,-0.3943273775510204,7.56,3.01,1.54,두손
0,2021-06-21 16:49:00:91941,0.8423712244897958,-0.430463918367347,-0.3823632857142857,9.17,2.59,2.59,두손
0,2021-06-21 16:49:00:93964,0.8323605102040815,-0.4092215,-0.3867582653061224,7.42,4.06,3.64,두손
0,2021-06-21 16:49:00:96019,0.8409062244897958,-0.40165236734693877,-0.38773492857142855,3.85,5.32,5.53,두손
0,2021-06-21 16:49:00:97926,0.8326045918367346,-0.4038498571428571,-0.40677985714285714,2.31,-0.7,3.43,두손
0,2021-06-21 16:49:00:99964,0.8413945408163264,-0.40800065306122446,-0.3899323979591836,0.21000001,-1.4,5.04,두손
0,2021-06-21 16:49:01:01859,0.8391971428571429,-0.41166316326530605,-0.38114244897959176,-3.15,-3.15,7.35,두손
0,2021-06-21 16:49:01:03889,0.8206404081632652,-0.41605813265306124,-0.390909081632653,-7.84,-7.77,7.91,두손
0,2021-06-21 16:49:01:05919,0.8369995918367346,-0.419720612244898,-0.3938390816326531,-9.59,-6.3,5.7400002,두손
0,2021-06-21 16:49:01:07845,0.840173775510204,-0.4336380612244897,-0.38578163265306115,-9.24,-5.25,3.78,두손
0,2021-06-21 16:49:01:09863,0.8323605102040815,-0.441939693877551,-0.3872466122448979,-7.35,-6.51,2.45,두손
0,2021-06-21 16:49:01:1189,0.8306513265306121,-0.4497529591836735,-0.394571581632653,-3.78,-7.98,0.84000003,두손
0,2021-06-21 16:49:01:13846,0.8421270408163264,-0.46171709183673465,-0.41068645918367347,0.56,-7.77,-1.12,두손
0,2021-06-21 16:49:01:15885,0.8416386734693877,-0.4604962244897958,-0.40677985714285714,5.04,-5.11,-3.08,두손
0,2021-06-21 16:49:01:17802,0.8509169387755101,-0.4590312755102041,-0.405559,8.75,-2.8700001,-4.13,두손
0,2021-06-21 16:49:01:19821,0.8423712244897958,-0.45243881632653055,-0.40189653061224484,10.29,-2.31,-4.06,두손
0,2021-06-21 16:49:01:2184,0.8360229591836734,-0.4275338775510204,-0.405559,8.54,-0.91,-3.64,두손
0,2021-06-21 16:49:01:25543,0.8409062244897958,-0.4104423061224489,-0.40165236734693877,5.95,-0.56,-2.38,두손
0,2021-06-21 16:49:01:25819,0.8304071428571428,-0.39676905102040816,-0.39310657142857136,2.66,-1.4,0.35,두손
0,2021-06-21 16:49:01:27795,0.8421270408163264,-0.4070240408163265,-0.40238487755102037,-0.28,-3.71,2.59,두손
0,2021-06-21 16:49:01:29827,0.8396854081632652,-0.4040940204081632,-0.40214071428571424,-2.8,-5.04,3.92,두손
0,2021-06-21 16:49:01:3179,0.8396854081632652,-0.4216739795918367,-0.39481571428571427,-3.64,-4.55,3.99,두손
0,2021-06-21 16:49:01:33773,0.8411505102040816,-0.4321730612244898,-0.3923740714285714,1.82,0.14,3.22,두손
0,2021-06-21 16:49:01:35861,0.8350463265306122,-0.4365680204081632,-0.419476469387755,4.34,-0.7,3.43,두손
0,2021-06-21 16:49:01:3803,0.8316279591836734,-0.439009693877551,-0.44657882653061226,2.38,-6.93,1.82,두손
0,2021-06-21 16:49:01:39781,0.8411505102040816,-0.43754469387755096,-0.43314972448979583,3.22,-2.52,-0.14,두손
0,2021-06-21 16:49:01:41849,0.8545794897959184,-0.4407188367346938,-0.40800065306122446,4.48,4.06,-0.28,두손
0,2021-06-21 16:49:01:43779,0.8453013265306122,-0.44267221428571424,-0.40775648979591833,4.41,6.16,-0.42000002,두손
0,2021-06-21 16:49:01:458,0.828453775510204,-0.4343705714285714,-0.4192322448979592,2.8,4.69,-1.4,두손
0,2021-06-21 16:49:01:47804,0.8272329591836733,-0.42777806122448975,-0.40458236734693875,1.12,4.48,-1.4,두손
0,2021-06-21 16:49:01:49786,0.8257679591836734,-0.4270456122448979,-0.38285163265306116,0.42000002,2.8700001,1.96,두손
0,2021-06-21 16:49:01:52792,0.8203963265306121,-0.4177672959183673,-0.3743058163265306,2.45,1.05,3.43,두손
0,2021-06-21 16:49:01:53802,0.8208845918367347,-0.4192322448979592,-0.37503831632653056,4.83,-3.64,3.99,두손
0,2021-06-21 16:49:01:55828,0.816489693877551,-0.4336380612244897,-0.40824486734693877,2.38,-12.74,3.85,두손
0,2021-06-21 16:49:01:57744,0.8369995918367346,-0.44096300000000005,-0.41019816326530606,1.4,-8.54,2.52,두손
0,2021-06-21 16:49:01:59785,0.8482312244897958,-0.4651354081632652,-0.41019816326530606,2.31,0.21000001,2.45,두손
0,2021-06-21 16:49:01:61717,0.8345579591836734,-0.456345469387755,-0.4416955102040816,2.38,2.03,2.52,두손
0,2021-06-21 16:49:01:63737,0.8203963265306121,-0.4541479285714286,-0.4529271428571428,-0.77,2.03,2.8700001,두손
0,2021-06-21 16:49:01:66821,0.8252796938775511,-0.4609845918367346,-0.43314972448979583,-1.12,1.82,1.54,두손
0,2021-06-21 16:49:01:68749,0.8265005102040816,-0.46733285714285716,-0.39823405102040815,1.54,7.28,-0.28,두손
0,2021-06-21 16:49:01:70745,0.8079438775510203,-0.4751462244897959,-0.387979081632653,4.9,10.29,-0.49,두손
0,2021-06-21 16:49:01:7179,0.8033047448979591,-0.46537959183673466,-0.40214071428571424,4.76,7.28,-1.89,두손
0,2021-06-21 16:49:01:73764,0.8130713877551019,-0.4575663265306122,-0.40653569387755095,-0.63,6.3,-3.22,두손
0,2021-06-21 16:49:01:75777,0.8230821428571428,-0.4490205102040816,-0.3906648979591837,-4.62,5.46,-4.9,두손
0,2021-06-21 16:49:01:80496,0.838708775510204,-0.46025214285714283,-0.38358411224489786,-4.55,3.15,-4.76,두손
0,2021-06-21 16:49:01:80534,0.828453775510204,-0.4595195918367347,-0.38358411224489786,-1.4,-0.28,-5.11,두손
0,2021-06-21 16:49:01:81973,0.833581224489796,-0.4631821020408162,-0.39579240816326533,1.96,-2.8700001,-4.83,두손
0,2021-06-21 16:49:01:83721,0.840417857142857,-0.4495087755102041,-0.3943273775510204,2.03,-4.27,-2.66,두손
0,2021-06-21 16:49:01:85776,0.8462778571428571,-0.4343705714285714,-0.4031173265306122,-0.14,-3.99,0.42000002,두손
0,2021-06-21 16:49:01:87778,0.8460336734693877,-0.42533642857142856,-0.41019816326530606,-0.35,-1.89,2.52,두손
0,2021-06-21 16:49:01:89801,0.8382204591836734,-0.41654642857142854,-0.40897734693877547,-0.7,1.89,5.46,두손
0,2021-06-21 16:49:01:91761,0.838708775510204,-0.42680142857142855,-0.43095224489795914,-1.61,2.52,6.23,두손
0,2021-06-21 16:49:01:93717,0.8345579591836734,-0.4351030612244898,-0.4248480918367346,-2.45,2.38,5.11,두손
0,2021-06-21 16:49:01:95796,0.8409062244897958,-0.43632387755102037,-0.4104423061224489,-2.52,4.34,3.01,두손
0,2021-06-21 16:49:01:97715,0.8311395918367346,-0.4319288775510204,-0.41019816326530606,-2.52,6.65,1.26,두손
0,2021-06-21 16:49:01:99857,0.8174663265306121,-0.43314972448979583,-0.4163022959183673,-2.59,5.53,0.63,두손
0,2021-06-21 16:49:02:01939,0.8247912244897958,-0.43290557142857133,-0.4094657142857142,-2.8700001,3.43,0.28,두손
0,2021-06-21 16:49:02:03925,0.824058775510204,-0.43730054081632647,-0.39554822448979593,-3.71,3.29,0.35,두손
0,2021-06-21 16:49:02:05886,0.822349693877551,-0.44291632653061225,-0.40189653061224484,-2.8,2.52,1.54,두손
0,2021-06-21 16:49:02:07877,0.8206404081632652,-0.4541479285714286,-0.40653569387755095,-2.24,2.17,1.61,두손
0,2021-06-21 16:49:02:09924,0.8279654081632652,-0.44316051020408165,-0.39603657142857146,-2.1,2.38,1.4,두손
0,2021-06-21 16:49:02:11804,0.8296745918367346,-0.4548804591836735,-0.40360567346938775,-1.96,3.43,1.82,두손
0,2021-06-21 16:49:02:13872,0.8352904081632654,-0.4480438367346938,-0.4014082142857142,-1.75,3.22,1.96,두손
0,2021-06-21 16:49:02:15845,0.8330928571428571,-0.45732211224489794,-0.4092215,-0.77,2.8700001,1.33,두손
0,2021-06-21 16:49:02:18038,0.8377320408163266,-0.46171709183673465,-0.39652489795918366,0.98,3.85,0.21000001,두손
0,2021-06-21 16:49:02:19882,0.8362670408163264,-0.4534155102040816,-0.394571581632653,2.1,4.9,-0.56,두손
0,2021-06-21 16:49:02:21836,0.8330928571428571,-0.4495087755102041,-0.38749074489795915,2.38,4.48,-0.77,두손
0,2021-06-21 16:49:02:23835,0.825523775510204,-0.4480438367346938,-0.40360567346938775,1.75,2.8,-0.49,두손
0,2021-06-21 16:49:02:25903,0.8279654081632652,-0.42631310204081635,-0.3882232448979591,0.21000001,2.8700001,0.63,두손
0,2021-06-21 16:49:02:27835,0.8174663265306121,-0.431684693877551,-0.4050706836734694,-0.84000003,1.47,1.26,두손
0,2021-06-21 16:49:02:29847,0.8145363979591835,-0.4387655510204082,-0.40824486734693877,-1.05,-0.28,0.98,두손
